speed,steeringAngle
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
0.00,-21.80
