speed,steeringAngle
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.00,-0.50
0.10,-0.50
0.09,-0.50
0.08,-0.50
0.06,-0.50
0.06,-0.50
0.05,-0.50
0.05,-0.50
0.05,-0.50
0.05,-0.50
0.03,-0.50
0.02,-0.50
0.03,-0.50
0.07,-0.50
0.09,-0.50
0.11,-0.50
0.10,-0.50
0.10,-0.50
0.09,-0.50
0.10,-0.50
0.10,-0.50
0.13,-0.50
0.13,-0.50
0.14,-0.50
0.14,-0.50
0.14,-0.50
0.14,-0.50
0.14,-0.50
0.26,-0.50
0.27,-0.50
0.27,-0.50
0.31,-0.50
0.35,-0.50
0.37,-0.50
0.39,-0.50
0.83,25.70
0.88,30.30
0.93,34.90
0.97,39.50
1.00,43.90
1.04,48.10
1.57,65.50
1.62,64.40
1.66,63.00
1.69,61.40
1.73,59.60
2.16,48.30
2.20,49.40
2.23,50.60
2.27,51.70
2.29,52.80
2.33,53.80
2.68,54.30
2.70,53.20
2.73,51.80
2.76,50.20
2.79,48.60
2.82,46.80
2.85,45.10
3.18,35.10
3.21,34.90
3.24,34.50
3.26,34.00
3.29,33.20
3.32,32.10
3.35,30.70
3.70,11.70
3.73,10.50
3.77,9.20
3.78,7.80
3.82,6.50
3.84,5.20
4.22,-2.10
4.24,-1.60
4.26,-1.10
4.29,-0.50
4.31,0.10
4.34,0.60
4.70,-0.60
4.72,-0.90
4.75,-1.20
4.78,-1.40
4.80,-1.60
4.82,-1.90
4.86,-2.10
5.20,-4.10
5.23,-4.60
5.25,-5.10
5.28,-5.50
5.30,-6.00
5.33,-6.40
5.67,-10.30
5.69,-10.30
5.71,-10.10
5.74,-9.90
5.76,-9.70
5.79,-9.40
5.82,-9.20
6.14,-9.90
6.15,-10.00
6.18,-10.00
6.21,-9.90
6.24,-9.80
6.27,-9.60
6.30,-9.50
6.65,-10.70
6.67,-10.70
6.70,-10.70
6.72,-10.70
6.74,-10.70
6.75,-10.60
7.07,-12.10
7.09,-12.30
7.12,-12.40
7.14,-12.40
7.16,-12.30
7.41,-12.30
7.44,-12.20
7.46,-12.00
7.47,-11.70
7.49,-11.40
7.52,-11.00
7.78,-8.60
7.81,-7.70
7.83,-6.70
7.85,-5.50
7.86,-4.20
7.87,-3.00
7.89,-1.70
8.12,-1.70
8.13,4.10
8.15,3.60
8.18,3.20
8.19,2.80
8.22,2.70
8.25,2.60
8.49,2.70
8.50,2.70
8.51,2.60
8.52,2.50
8.52,2.50
8.53,2.50
8.77,0.80
8.79,0.30
8.82,-0.10
8.85,-0.60
8.88,-1.10
8.90,-1.50
8.91,-1.80
9.03,-1.80
9.05,-1.90
9.06,-1.90
9.06,-2.10
9.07,-2.30
9.10,-2.60
9.11,-2.80
9.25,-0.40
9.27,-0.30
9.27,-0.40
9.28,-0.60
9.30,-0.90
9.32,-1.20
9.53,-1.70
9.54,-1.60
9.55,-1.60
9.56,-1.70
9.56,-1.70
9.57,-1.70
9.59,-1.70
9.79,-1.70
9.82,3.60
9.84,3.90
9.86,4.20
9.87,4.40
9.87,4.40
9.89,4.30
10.14,-0.30
10.16,-0.40
10.17,-0.70
10.19,-1.00
10.21,-1.30
10.21,-1.60
10.43,-8.80
10.45,-8.40
10.47,-8.00
10.48,-7.70
10.49,-7.50
10.69,-8.60
10.70,-8.30
10.72,-7.90
10.74,-7.50
10.75,-7.10
10.76,-6.70
10.95,-8.60
10.97,-9.00
