speed,steeringAngle
0.00,7.80
0.00,7.80
0.00,7.80
0.00,7.80
0.00,7.90
0.00,7.90
0.00,7.90
0.00,7.90
0.00,7.90
0.00,7.90
0.00,7.90
0.00,8.00
0.00,8.00
0.00,8.00
0.00,8.10
0.00,8.10
0.00,8.10
0.00,8.10
0.00,8.20
0.01,8.20
0.01,8.20
0.01,8.20
0.02,8.20
0.05,8.20
0.42,7.80
0.44,7.70
0.46,7.60
0.48,7.50
0.52,7.50
0.56,7.50
0.60,7.50
1.08,7.50
1.12,4.40
1.15,3.90
1.20,3.40
1.23,2.90
1.27,2.50
1.30,2.20
1.72,2.00
1.76,2.30
1.80,2.30
1.83,2.40
1.86,2.40
1.89,2.40
1.93,2.30
2.34,2.20
2.37,2.00
2.40,2.00
2.43,2.00
2.46,2.00
2.49,2.10
2.52,2.10
2.88,2.10
2.90,2.10
2.93,2.10
2.95,2.10
2.99,2.20
3.02,2.30
3.05,2.40
3.39,2.50
3.40,1.70
3.43,1.80
3.45,2.00
3.48,2.40
3.51,2.80
3.54,3.10
3.94,3.40
3.98,4.10
3.99,4.50
4.04,4.70
4.07,4.80
4.09,4.70
4.13,4.50
4.47,4.50
4.50,2.90
4.53,2.50
4.55,1.90
4.58,1.30
4.61,0.80
4.65,0.30
4.98,0.30
5.02,1.00
5.05,0.70
5.08,0.50
5.11,0.30
5.13,0.30
5.16,0.20
5.52,0.30
5.55,0.20
5.59,0.20
5.61,0.10
5.63,0.10
5.66,0.10
5.69,0.20
6.01,0.20
6.03,-0.50
6.06,-0.40
6.09,-0.40
6.12,-0.50
6.15,-0.70
6.17,-0.90
6.51,-0.90
6.54,-2.80
6.57,-2.60
6.59,-2.50
6.61,-2.50
6.63,-2.70
6.94,-3.60
6.96,-3.80
7.00,-4.00
7.02,-4.20
7.05,-4.30
7.07,-4.30
7.36,-4.30
7.38,-4.30
7.40,-4.10
7.42,-3.80
7.45,-3.60
7.48,-3.30
7.52,-3.20
7.85,-3.20
7.87,-4.60
7.89,-4.70
7.91,-5.00
7.93,-5.20
7.95,-5.40
7.97,-5.40
8.25,-5.40
8.27,-5.00
8.30,-4.90
8.32,-4.90
8.34,-4.90
8.37,-5.00
8.39,-5.10
8.68,-5.20
8.71,-5.50
8.73,-5.70
8.77,-5.80
8.78,-5.80
8.82,-5.60
9.16,-5.40
9.19,-4.90
9.21,-4.80
9.24,-4.90
9.27,-5.10
9.29,-5.30
9.61,-4.20
9.63,-4.10
9.66,-4.10
9.68,-4.00
9.71,-4.00
9.73,-4.00
10.10,-4.10
10.12,-1.50
10.14,-1.30
10.16,-1.10
10.20,-1.00
10.21,-0.90
10.24,-1.00
10.56,-1.00
10.58,-0.90
10.61,-1.00
10.63,-1.00
10.65,-0.90
10.67,-0.80
10.69,-0.70
10.96,-0.20
10.99,-0.20
11.01,-0.20
11.02,-0.40
11.03,-0.60
11.05,-1.00
11.19,-1.30
11.20,0.20
11.20,0.40
11.21,0.70
11.22,1.20
11.22,1.90
11.24,2.60
11.22,2.60
11.20,11.80
11.19,12.80
11.19,13.90
11.20,15.10
11.20,16.60
11.19,18.20
11.08,19.00
11.07,34.90
11.06,36.00
11.03,37.00
11.04,38.10
11.02,39.20
11.02,40.20
10.86,41.10
10.82,41.60
10.82,41.40
10.80,41.10
10.77,40.80
10.76,40.60
10.74,40.30
10.57,36.00
10.56,35.50
10.54,35.00
10.53,34.50
10.51,33.90
10.49,33.30
10.31,16.00
10.30,13.70
10.28,11.40
10.26,9.10
10.23,6.90
10.21,4.80
10.10,2.80
10.09,-7.40
10.08,-7.20
10.08,-7.00
10.07,-6.80
10.05,-6.60
10.04,-6.50
10.03,-6.50
10.03,-7.20
10.03,-7.70
10.03,-8.30
10.03,-8.90
10.02,-9.60
10.02,-10.30
10.02,-10.70
10.03,-22.50
10.03,-23.80
10.03,-25.10
10.03,-26.40
10.03,-27.70
10.03,-29.00
10.01,-30.50
10.01,-46.00
10.01,-46.90
10.01,-47.80
10.01,-48.60
10.02,-49.30
10.01,-50.10
10.00,-57.30
10.00,-57.90
10.01,-58.40
10.01,-59.00
10.01,-59.60
10.01,-60.10
9.98,-60.40
9.98,-65.50
9.97,-65.50
9.97,-65.30
9.97,-65.20
9.98,-65.10
9.97,-65.10
9.97,-65.40
9.96,-65.30
9.96,-65.10
9.97,-64.90
9.97,-64.60
9.97,-64.50
9.97,-61.30
9.97,-60.90
9.97,-60.40
9.97,-59.90
9.96,-59.30
9.95,-58.60
9.94,-57.70
9.94,-30.70
9.94,-28.30
9.95,-25.90
9.94,-23.60
9.94,-21.40
9.93,-19.30
9.91,10.90
9.93,12.80
9.94,14.30
9.92,15.70
9.93,16.80
9.92,18.00
9.94,18.50
9.95,35.00
9.95,36.40
9.96,37.80
9.97,39.30
9.97,40.60
9.97,42.00
9.97,43.30
9.97,51.00
9.98,50.70
9.97,50.50
9.97,50.40
9.97,50.20
9.97,50.10
9.94,50.10
9.94,48.40
9.94,48.20
9.94,48.00
9.94,47.80
9.94,47.60
9.94,47.30
9.90,47.10
9.90,41.20
9.90,40.50
9.90,39.90
9.89,39.20
9.88,38.50
9.88,37.70
9.88,37.00
9.87,17.40
9.87,15.40
9.86,13.30
9.85,11.50
9.85,9.70
9.85,8.20
9.83,8.20
9.83,2.10
9.83,2.30
9.83,2.40
9.83,2.50
9.84,2.50
9.84,2.40
9.85,2.30
9.85,1.60
9.84,1.40
9.84,1.00
9.85,0.60
9.85,0.30
9.86,0.10
9.91,-0.10
9.91,-0.90
9.92,-0.90
9.92,-0.90
9.94,-0.90
9.95,-0.70
9.97,-0.70
10.09,-0.70
10.10,-2.30
10.10,-2.20
10.10,-2.10
10.12,-2.10
10.13,-2.10
10.15,-2.30
10.20,-2.80
10.20,-3.10
10.20,-3.50
10.20,-3.90
10.20,-4.40
10.21,-4.80
10.18,-5.20
10.18,-8.00
10.17,-7.90
10.17,-7.70
10.17,-7.60
10.16,-7.50
10.16,-7.40
10.08,-7.40
10.06,-7.30
10.03,-7.30
10.03,-7.50
10.01,-7.60
9.98,-7.60
9.96,-7.60
9.73,-7.60
9.71,-6.30
9.69,-6.00
9.66,-5.80
9.64,-5.50
9.60,-5.20
9.58,-4.90
9.10,-4.60
9.06,-1.70
9.02,-1.60
8.97,-1.60
8.92,-1.60
8.87,-1.70
8.82,-1.70
8.22,-1.70
8.16,1.20
8.10,1.60
8.05,2.10
7.99,2.50
7.94,2.70
7.88,2.90
7.18,2.90
7.13,2.60
7.07,2.70
7.01,2.60
6.95,2.50
6.89,2.40
6.82,2.00
5.93,1.50
5.86,0.30
5.81,-0.10
5.75,-0.40
5.69,-0.40
5.62,-0.40
5.55,-0.20
4.72,-0.20
4.65,0.60
4.58,0.80
4.51,0.70
4.43,0.40
4.36,0.00
4.30,-0.50
3.49,-0.70
3.43,0.10
3.36,-0.10
3.30,-0.20
3.24,-0.20
3.17,-0.10
3.11,0.10
2.38,0.30
2.33,0.20
2.27,-0.10
2.22,-0.40
2.17,-0.60
2.12,-0.60
2.07,-0.50
1.48,0.00
1.42,0.00
1.37,-0.20
1.33,-0.30
1.28,-0.40
1.23,-0.30
0.72,-0.30
0.68,-0.30
0.64,-0.30
0.60,-0.30
0.55,-0.30
0.47,-0.30
0.42,-0.30
0.31,-0.30
0.31,-0.30
0.31,-0.30
0.31,-0.30
0.31,-0.30
0.31,-0.30
0.31,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
0.00,-0.30
