utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
0.000	0.000	0.000	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000000	0.0000000
670828.459	3529874.236	3.100	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	118.8063133	31.8918781
670828.459	3529874.236	3.100	0.620	0.000	-0.000	-0.001	-0.000	-0.001	0.009	0.007	0.000	0.000	118.8063133	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.001	-0.001	-0.001	0.044	0.014	0.014	0.000	0.000	118.8063133	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	-0.000	-0.000	0.023	0.001	0.011	0.000	0.000	118.8063133	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	0.000	-0.000	0.018	-0.014	0.009	0.000	0.000	118.8063133	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	0.000	-0.000	-0.001	-0.010	-0.006	0.000	0.000	118.8063133	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.000	0.000	0.000	-0.003	-0.007	-0.005	0.000	0.000	118.8063133	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	-0.000	-0.000	0.000	0.004	-0.012	0.000	0.000	118.8063133	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.000	0.000	0.000	0.006	0.005	-0.009	0.000	0.000	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.000	0.000	0.000	-0.001	0.009	0.003	0.000	0.000	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	-0.001	-0.000	-0.000	0.011	0.026	0.000	0.000	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	0.000	-0.000	-0.012	0.013	0.022	0.000	0.000	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	-0.000	-0.000	-0.006	-0.000	0.017	0.000	0.000	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	-0.000	-0.000	0.006	-0.002	-0.001	0.000	0.000	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	0.000	-0.000	0.006	-0.012	-0.019	0.000	0.000	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.000	-0.000	0.000	0.010	-0.010	-0.026	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.000	-0.000	0.000	-0.005	-0.012	-0.010	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.000	-0.000	0.000	-0.012	-0.004	0.023	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.000	0.001	0.000	-0.023	0.015	0.064	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.000	0.000	0.000	-0.002	0.015	0.034	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	0.000	-0.000	0.013	0.016	-0.003	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	-0.001	-0.000	0.032	0.038	-0.034	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.001	-0.000	-0.001	0.014	0.005	-0.027	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.001	0.001	-0.001	0.009	0.006	-0.012	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	0.001	-0.000	-0.012	-0.024	0.009	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.000	-0.000	0.000	-0.023	-0.028	0.006	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.000	-0.001	0.000	-0.025	-0.021	0.001	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.001	-0.001	0.001	-0.013	-0.007	-0.009	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.001	-0.000	0.001	-0.013	0.008	-0.012	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.001	-0.000	0.001	-0.007	0.045	-0.012	-0.502	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	-0.000	-0.000	0.006	0.026	0.002	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.001	-0.001	-0.001	0.016	0.012	0.013	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.001	-0.000	-0.001	0.009	-0.003	0.014	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.001	0.000	-0.001	0.022	-0.012	0.005	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	-0.000	0.001	-0.000	0.014	-0.021	-0.001	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.000	0.001	0.000	0.005	-0.022	-0.016	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.236	3.100	0.620	0.000	0.000	0.000	0.000	-0.004	-0.015	-0.023	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	0.620	0.000	0.001	0.000	0.001	-0.018	0.001	-0.016	-0.503	0.061	118.8063134	31.8918781
670828.460	3529874.237	3.100	0.620	0.000	0.001	0.000	0.001	-0.015	0.008	-0.004	-0.503	0.061	118.8063134	31.8918781
