utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
0.000	0.000	0.000	0.532	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000000	0.0000000
670827.530	3529879.958	3.064	0.532	0.081	0.010	0.004	0.010	-0.094	0.060	0.172	0.000	0.000	118.8063045	31.8919299
670827.530	3529879.958	3.064	0.532	0.081	0.002	-0.001	0.002	0.038	0.152	-0.040	0.000	0.000	118.8063045	31.8919299
670827.530	3529879.950	3.063	0.532	0.081	0.000	0.000	0.000	-0.061	0.167	0.073	0.000	0.000	118.8063045	31.8919298
670827.530	3529879.950	3.063	0.528	0.081	-0.005	0.001	-0.005	0.027	0.051	-0.046	0.000	0.000	118.8063045	31.8919298
670827.531	3529879.943	3.063	0.528	0.087	-0.002	-0.000	-0.002	-0.045	0.088	0.044	0.000	0.000	118.8063045	31.8919297
670827.532	3529879.935	3.064	0.528	0.087	-0.004	0.000	-0.004	0.036	0.003	-0.127	0.000	0.000	118.8063045	31.8919297
670827.532	3529879.935	3.064	0.528	0.093	0.002	0.001	0.002	0.010	0.390	-0.102	0.000	0.000	118.8063045	31.8919297
670827.532	3529879.927	3.063	0.528	0.098	0.002	-0.000	0.002	-0.009	0.112	0.118	0.000	0.000	118.8063046	31.8919296
670827.532	3529879.927	3.063	0.528	0.098	0.019	-0.001	0.019	0.104	0.597	-0.073	0.000	0.000	118.8063046	31.8919296
670827.533	3529879.918	3.063	0.440	0.098	-0.007	-0.001	-0.007	-0.048	0.012	0.137	0.000	0.000	118.8063046	31.8919295
670827.534	3529879.909	3.063	0.426	0.098	0.005	-0.000	0.005	0.027	0.165	0.081	0.000	0.000	118.8063046	31.8919294
670827.534	3529879.909	3.063	0.407	0.122	-0.002	-0.003	-0.002	-0.054	-0.067	-0.142	0.000	0.000	118.8063046	31.8919294
670827.535	3529879.900	3.063	0.389	0.127	-0.000	0.003	-0.000	0.059	1.121	-0.439	0.000	0.000	118.8063046	31.8919293
670827.535	3529879.900	3.063	0.370	0.127	0.004	0.001	0.004	-0.039	0.057	-0.177	0.000	0.000	118.8063046	31.8919293
670827.535	3529879.889	3.063	0.347	0.133	0.007	0.005	0.007	0.031	0.826	0.212	0.000	0.000	118.8063046	31.8919292
670827.536	3529879.878	3.063	0.296	0.133	-0.004	0.001	-0.004	0.018	0.564	0.125	0.000	0.000	118.8063046	31.8919291
670827.536	3529879.878	3.063	0.269	0.139	0.006	0.001	0.006	0.096	0.806	0.061	0.000	0.000	118.8063046	31.8919291
670827.537	3529879.865	3.063	0.245	0.139	0.001	-0.001	0.001	-0.081	0.591	0.130	0.000	0.000	118.8063046	31.8919290
670827.537	3529879.865	3.063	0.213	0.145	0.003	0.002	0.003	0.068	0.793	-0.009	0.000	0.000	118.8063046	31.8919290
670827.538	3529879.850	3.063	0.190	0.145	0.007	-0.002	0.007	0.005	0.531	-0.138	0.000	0.000	118.8063046	31.8919289
670827.540	3529879.834	3.063	0.157	0.145	0.001	0.002	0.001	-0.049	1.660	-0.195	0.000	0.000	118.8063046	31.8919287
670827.540	3529879.834	3.063	0.130	0.150	0.009	-0.001	0.009	0.011	0.667	-0.073	0.000	0.000	118.8063046	31.8919287
670827.542	3529879.815	3.063	-0.319	0.243	0.015	0.003	0.015	0.094	1.962	0.009	0.000	0.000	118.8063046	31.8919286
670827.542	3529879.815	3.063	-0.319	0.266	0.005	0.001	0.005	-0.027	0.923	0.110	0.000	0.000	118.8063046	31.8919286
670827.543	3529879.793	3.063	-0.324	0.266	0.004	0.003	0.004	0.050	1.023	0.052	0.000	0.000	118.8063046	31.8919284
670827.546	3529879.768	3.063	-0.324	0.284	0.003	0.000	0.003	-0.009	1.744	0.239	0.000	0.000	118.8063047	31.8919282
670827.546	3529879.768	3.063	-0.329	0.284	0.002	0.002	0.002	0.013	0.905	0.075	0.000	0.000	118.8063047	31.8919282
670827.548	3529879.741	3.063	-0.329	0.301	-0.004	0.001	-0.004	0.008	1.878	-0.005	0.000	0.000	118.8063047	31.8919279
670827.548	3529879.741	3.063	-0.329	0.301	0.005	0.004	0.005	-0.005	1.973	-0.104	0.000	0.000	118.8063047	31.8919279
670827.551	3529879.710	3.063	-0.329	0.318	-0.000	0.002	-0.000	0.068	0.809	-0.114	0.000	0.000	118.8063047	31.8919276
670827.554	3529879.677	3.063	-0.329	0.330	0.007	0.002	0.007	0.019	0.976	-0.012	0.000	0.000	118.8063047	31.8919273
670827.554	3529879.677	3.063	-0.329	0.330	0.005	0.002	0.005	0.016	1.099	0.111	0.000	0.000	118.8063047	31.8919273
670827.557	3529879.641	3.064	-0.329	0.353	-0.001	0.001	-0.001	-0.025	0.733	0.030	0.000	0.000	118.8063048	31.8919270
670827.557	3529879.641	3.064	-0.338	0.353	0.002	0.004	0.002	0.037	1.131	0.101	0.000	0.000	118.8063048	31.8919270
670827.560	3529879.602	3.064	-0.338	0.353	0.007	-0.000	0.007	0.051	0.940	-0.057	0.000	0.000	118.8063048	31.8919266
670827.563	3529879.560	3.064	-0.338	0.671	-0.007	0.005	-0.007	-0.023	2.111	0.014	0.000	0.000	118.8063048	31.8919263
670827.563	3529879.560	3.064	-0.338	0.671	0.019	0.003	0.019	0.164	2.266	-0.220	0.000	0.000	118.8063048	31.8919263
670827.567	3529879.515	3.064	-0.338	0.694	0.003	0.003	0.003	-0.066	0.828	0.009	0.000	0.000	118.8063048	31.8919259
670827.567	3529879.515	3.064	-0.338	0.718	0.017	0.008	0.017	0.147	2.330	-0.061	0.000	0.000	118.8063048	31.8919259
670827.571	3529879.467	3.064	-0.338	0.718	0.003	0.001	0.003	-0.103	0.837	0.147	0.000	0.000	118.8063049	31.8919254
670827.576	3529879.416	3.064	-0.338	0.747	0.002	-0.001	0.002	0.014	0.922	-0.004	0.000	0.000	118.8063049	31.8919250
670827.576	3529879.416	3.064	-0.338	0.747	-0.005	0.004	-0.005	0.015	0.984	-0.006	0.000	0.000	118.8063049	31.8919250
670827.580	3529879.361	3.064	-0.338	0.770	0.002	0.003	0.002	0.107	1.015	-0.147	0.000	0.000	118.8063050	31.8919245
670827.580	3529879.361	3.064	-0.338	0.770	-0.001	0.010	-0.001	-0.038	1.653	-0.034	0.000	0.000	118.8063050	31.8919245
670827.585	3529879.304	3.064	-0.338	0.799	0.004	0.008	0.004	0.128	1.956	-0.041	0.000	0.000	118.8063050	31.8919240
670827.590	3529879.244	3.064	-0.398	0.799	0.007	0.002	0.007	0.026	0.963	-0.005	0.000	0.000	118.8063050	31.8919234
670827.590	3529879.244	3.064	-0.398	0.799	-0.002	0.005	-0.002	0.056	0.805	0.102	0.000	0.000	118.8063050	31.8919234
670827.596	3529879.182	3.065	-0.407	1.155	0.002	0.004	0.002	-0.029	0.693	0.042	0.000	0.000	118.8063051	31.8919229
670827.596	3529879.182	3.065	-0.431	1.155	-0.005	0.004	-0.005	-0.003	1.026	-0.057	0.000	0.000	118.8063051	31.8919229
670827.601	3529879.116	3.065	-0.431	1.172	0.011	0.010	0.011	0.005	1.578	-0.008	0.000	0.000	118.8063051	31.8919223
670827.607	3529879.049	3.065	-0.454	1.172	-0.003	0.006	-0.003	-0.022	0.654	0.021	0.000	0.000	118.8063052	31.8919217
670827.607	3529879.049	3.065	-0.468	1.198	0.015	0.007	0.015	0.058	1.677	-0.090	0.000	0.000	118.8063052	31.8919217
670827.612	3529878.978	3.065	-0.477	1.215	0.005	0.008	0.005	-0.116	1.469	-0.076	0.000	0.000	118.8063052	31.8919210
670827.612	3529878.978	3.065	-0.491	1.215	-0.000	0.004	-0.000	-0.001	0.813	-0.081	0.000	0.000	118.8063052	31.8919210
670827.618	3529878.906	3.066	-0.500	1.250	0.004	0.002	0.004	0.043	0.845	-0.022	0.000	0.000	118.8063053	31.8919204
670827.624	3529878.831	3.066	-0.509	1.250	0.002	0.002	0.002	0.025	0.733	-0.053	0.000	0.000	118.8063053	31.8919197
670827.624	3529878.831	3.066	-0.523	1.267	0.008	0.002	0.008	0.029	0.815	0.118	0.000	0.000	118.8063053	31.8919197
670827.630	3529878.754	3.066	-0.537	1.267	-0.004	0.006	-0.004	0.019	1.447	0.267	0.000	0.000	118.8063054	31.8919190
670827.630	3529878.754	3.066	-0.537	1.562	0.005	0.003	0.005	0.010	0.847	0.094	0.000	0.000	118.8063054	31.8919190
670827.637	3529878.675	3.067	-0.556	1.562	0.001	0.002	0.001	-0.009	0.579	-0.049	0.000	0.000	118.8063054	31.8919183
670827.643	3529878.593	3.067	-0.556	1.580	0.005	0.003	0.005	0.024	0.819	-0.086	0.000	0.000	118.8063055	31.8919175
670827.643	3529878.593	3.067	-0.556	1.580	0.006	0.000	0.006	0.013	0.580	-0.085	0.000	0.000	118.8063055	31.8919175
670827.650	3529878.509	3.067	-0.556	1.606	0.000	0.004	0.000	-0.036	0.670	-0.056	0.000	0.000	118.8063055	31.8919168
670827.650	3529878.509	3.067	-0.556	1.606	0.017	0.004	0.017	0.098	1.407	-0.315	0.000	0.000	118.8063055	31.8919168
670827.657	3529878.423	3.068	-0.560	1.632	0.007	0.003	0.007	0.094	0.980	-0.047	0.000	0.000	118.8063056	31.8919160
670827.664	3529878.335	3.068	-0.565	1.649	0.010	0.002	0.010	0.021	0.840	0.225	0.000	0.000	118.8063057	31.8919152
670827.664	3529878.335	3.068	-0.569	1.649	0.001	0.002	0.001	0.092	0.805	0.304	0.000	0.000	118.8063057	31.8919152
670827.671	3529878.244	3.069	-0.579	1.667	-0.001	-0.000	-0.001	-0.135	0.695	0.311	0.000	0.000	118.8063057	31.8919144
670827.671	3529878.244	3.069	-0.593	1.667	-0.006	0.001	-0.006	0.078	0.847	0.339	0.000	0.000	118.8063057	31.8919144
670827.678	3529878.151	3.070	-0.593	1.684	-0.007	0.001	-0.007	-0.086	0.667	-0.007	0.000	0.000	118.8063058	31.8919135
670827.686	3529878.055	3.070	-0.866	1.684	-0.009	-0.000	-0.009	0.140	0.616	-0.026	0.000	0.000	118.8063058	31.8919127
670827.686	3529878.055	3.070	-0.875	1.684	-0.000	-0.000	-0.000	0.020	0.559	-0.249	0.000	0.000	118.8063058	31.8919127
