utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
0.000	0.000	0.000	-0.861	0.260	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000000	0.0000000
671405.112	3529321.844	2.274	-0.875	0.278	0.013	-0.001	0.013	0.016	1.026	0.009	0.000	0.000	118.8123106	31.8868102
671405.112	3529321.844	2.274	-0.894	0.278	0.006	0.001	0.006	0.055	1.395	-0.145	0.000	0.000	118.8123106	31.8868102
671405.133	3529321.828	2.275	-0.907	0.295	0.011	0.002	0.011	-0.057	2.232	0.252	0.000	0.000	118.8123108	31.8868100
671405.133	3529321.828	2.275	-0.926	0.295	0.003	-0.002	0.003	-0.067	0.998	0.226	0.000	0.000	118.8123108	31.8868100
671405.157	3529321.809	2.275	-0.940	0.307	0.004	-0.003	0.004	-0.044	1.188	0.091	0.000	0.000	118.8123111	31.8868099
671405.184	3529321.788	2.275	-0.968	0.307	0.001	-0.004	0.001	-0.020	1.232	-0.062	0.000	0.000	118.8123113	31.8868097
671405.184	3529321.788	2.275	-0.986	0.324	0.000	0.001	0.000	0.036	1.256	-0.091	0.000	0.000	118.8123113	31.8868097
671405.214	3529321.765	2.276	-1.000	0.347	0.007	-0.001	0.007	0.058	1.186	0.038	0.000	0.000	118.8123116	31.8868095
671405.214	3529321.765	2.276	-1.014	0.347	0.012	0.000	0.012	0.066	1.185	-0.087	0.000	0.000	118.8123116	31.8868095
671405.246	3529321.740	2.276	-1.144	0.347	-0.003	-0.001	-0.003	0.104	2.310	0.122	0.000	0.000	118.8123120	31.8868092
671405.281	3529321.712	2.277	-1.139	0.347	0.003	-0.001	0.003	0.086	0.869	0.158	0.000	0.000	118.8123123	31.8868090
671405.281	3529321.712	2.277	-1.139	0.723	-0.009	-0.000	-0.009	0.037	0.805	0.228	0.000	0.000	118.8123123	31.8868090
671405.318	3529321.682	2.277	-1.125	0.723	0.001	0.003	0.001	0.042	1.084	0.002	0.000	0.000	118.8123127	31.8868087
671405.318	3529321.682	2.277	-1.120	0.758	-0.008	0.006	-0.008	0.034	1.102	-0.216	0.000	0.000	118.8123127	31.8868087
671405.358	3529321.650	2.278	-1.111	0.787	0.007	0.010	0.007	0.000	0.955	-0.107	0.000	0.000	118.8123131	31.8868084
671405.399	3529321.617	2.278	-1.093	0.787	0.016	0.004	0.016	0.032	0.974	0.059	0.000	0.000	118.8123136	31.8868081
671405.399	3529321.617	2.278	-1.093	0.810	0.005	0.002	0.005	0.062	0.727	-0.018	0.000	0.000	118.8123136	31.8868081
671405.442	3529321.582	2.279	-1.088	0.810	-0.003	0.008	-0.003	0.023	2.100	0.471	0.000	0.000	118.8123140	31.8868078
671405.442	3529321.582	2.279	-1.079	0.839	-0.002	0.003	-0.002	-0.027	0.490	0.098	0.000	0.000	118.8123140	31.8868078
671405.488	3529321.545	2.279	-1.056	0.839	-0.006	-0.000	-0.006	-0.030	0.975	0.072	0.000	0.000	118.8123145	31.8868074
671405.535	3529321.506	2.280	-1.046	0.874	0.007	0.000	0.007	-0.028	0.949	-0.072	0.000	0.000	118.8123150	31.8868071
671405.535	3529321.506	2.280	-1.037	0.874	-0.004	-0.000	-0.004	0.002	0.903	-0.001	0.000	0.000	118.8123150	31.8868071
671405.583	3529321.464	2.280	-1.037	1.215	0.001	-0.004	0.001	0.022	1.454	0.184	0.000	0.000	118.8123155	31.8868067
671405.583	3529321.464	2.280	-0.616	1.215	0.011	0.000	0.011	-0.000	0.900	0.021	0.000	0.000	118.8123155	31.8868067
671405.633	3529321.421	2.280	-0.616	1.233	-0.002	-0.001	-0.002	0.017	0.577	0.023	0.000	0.000	118.8123160	31.8868063
671405.685	3529321.376	2.281	-0.574	1.233	-0.005	-0.001	-0.005	-0.029	0.828	0.107	0.000	0.000	118.8123166	31.8868059
671405.685	3529321.376	2.281	-0.551	1.267	0.003	-0.004	0.003	0.067	1.348	-0.239	0.000	0.000	118.8123166	31.8868059
671405.739	3529321.330	2.281	-0.532	1.285	-0.004	-0.002	-0.004	0.041	0.962	-0.096	0.000	0.000	118.8123171	31.8868055
671405.739	3529321.330	2.281	-0.505	1.285	0.004	0.001	0.004	0.065	0.656	-0.092	0.000	0.000	118.8123171	31.8868055
671405.794	3529321.282	2.281	-0.481	1.302	-0.009	0.001	-0.009	0.057	1.315	0.134	0.000	0.000	118.8123177	31.8868050
671405.851	3529321.233	2.281	-0.431	1.302	0.003	0.001	0.003	-0.033	0.553	0.003	0.000	0.000	118.8123183	31.8868046
671405.851	3529321.233	2.281	-0.431	1.319	0.009	0.003	0.009	-0.062	1.545	0.016	0.000	0.000	118.8123183	31.8868046
671405.910	3529321.182	2.281	-0.380	1.319	-0.004	-0.000	-0.004	-0.016	0.675	0.046	0.000	0.000	118.8123189	31.8868041
671405.910	3529321.182	2.281	-0.380	1.337	0.007	0.001	0.007	-0.020	0.756	0.113	0.000	0.000	118.8123189	31.8868041
671405.970	3529321.131	2.281	0.208	1.337	0.000	-0.005	0.000	0.003	1.187	-0.123	0.000	0.000	118.8123195	31.8868036
671406.032	3529321.077	2.281	0.208	1.589	-0.001	-0.001	-0.001	-0.030	0.870	0.109	0.000	0.000	118.8123202	31.8868031
671406.032	3529321.077	2.281	0.231	1.589	0.002	-0.003	0.002	0.023	0.593	-0.021	0.000	0.000	118.8123202	31.8868031
671406.096	3529321.023	2.280	0.231	1.606	-0.005	-0.004	-0.005	-0.025	0.484	0.007	0.000	0.000	118.8123208	31.8868026
671406.096	3529321.023	2.280	0.245	1.606	0.001	-0.004	0.001	-0.025	0.651	-0.027	0.000	0.000	118.8123208	31.8868026
671406.161	3529320.967	2.280	0.259	1.623	-0.001	-0.004	-0.001	-0.090	0.563	-0.124	0.000	0.000	118.8123215	31.8868021
671406.227	3529320.910	2.280	0.282	1.623	-0.003	-0.005	-0.003	0.009	0.539	0.015	0.000	0.000	118.8123222	31.8868016
671406.227	3529320.910	2.280	0.296	1.641	0.002	-0.006	0.002	-0.029	0.508	0.012	0.000	0.000	118.8123222	31.8868016
671406.295	3529320.852	2.279	0.306	1.667	-0.001	-0.000	-0.001	0.036	0.658	0.063	0.000	0.000	118.8123229	31.8868011
671406.295	3529320.852	2.279	0.319	1.667	-0.001	0.001	-0.001	0.045	0.432	0.082	0.000	0.000	118.8123229	31.8868011
671406.365	3529320.793	2.279	0.329	1.675	-0.005	0.003	-0.005	0.015	0.642	0.204	0.000	0.000	118.8123236	31.8868005
671406.435	3529320.732	2.278	0.343	1.675	0.000	0.004	0.000	0.116	0.695	0.031	0.000	0.000	118.8123244	31.8868000
671406.435	3529320.732	2.278	0.634	1.675	-0.011	0.006	-0.011	0.045	0.703	0.077	0.000	0.000	118.8123244	31.8868000
671406.507	3529320.670	2.278	0.653	1.675	-0.001	0.005	-0.001	-0.001	0.551	-0.022	0.000	0.000	118.8123251	31.8867994
671406.507	3529320.670	2.278	0.667	1.884	-0.003	0.003	-0.003	-0.118	0.304	-0.131	0.000	0.000	118.8123251	31.8867994
671406.581	3529320.607	2.277	0.685	1.901	0.003	0.002	0.003	-0.053	0.641	-0.105	0.000	0.000	118.8123259	31.8867988
671406.655	3529320.543	2.276	0.704	1.901	0.002	0.002	0.002	0.028	0.481	-0.142	0.000	0.000	118.8123267	31.8867982
671406.655	3529320.543	2.276	0.718	1.918	-0.001	0.005	-0.001	-0.065	0.322	0.240	0.000	0.000	118.8123267	31.8867982
671406.731	3529320.479	2.275	0.755	1.918	-0.011	0.004	-0.011	-0.036	0.506	0.128	0.000	0.000	118.8123275	31.8867976
671406.731	3529320.479	2.275	0.755	1.927	-0.009	0.006	-0.009	-0.011	0.762	-0.031	0.000	0.000	118.8123275	31.8867976
671406.809	3529320.413	2.274	0.792	1.927	-0.014	0.007	-0.014	0.011	0.427	-0.049	0.000	0.000	118.8123283	31.8867970
671406.888	3529320.347	2.273	0.810	1.936	-0.007	0.002	-0.007	-0.037	0.508	0.079	0.000	0.000	118.8123291	31.8867964
671406.888	3529320.347	2.273	0.824	1.962	-0.015	-0.003	-0.015	0.014	0.599	-0.167	0.000	0.000	118.8123291	31.8867964
