  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;0.05,-0.10,0.02;-0.14,0.62,9.87;1.90,-1.90
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;0.05,-0.10,0.02;-0.14,0.62,9.87;1.90,-1.90
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;0.05,-0.10,0.02;-0.14,0.62,9.87;1.92,-2.10
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;0.05,-0.10,0.02;-0.14,0.62,9.87;1.94,-2.20
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;0.05,-0.10,0.02;-0.14,0.62,9.87;1.95,-2.20
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;0.05,-0.10,0.02;-0.14,0.62,9.87;1.96,-2.20
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;0.05,-0.10,0.02;-0.14,0.62,9.87;1.97,-2.20
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;0.05,-0.10,0.02;-0.14,0.62,9.87;1.99,-2.20
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;0.05,-0.10,0.02;-0.14,0.62,9.87;1.99,-2.20
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;0.05,-0.10,0.02;-0.14,0.62,9.87;2.22,-2.10
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;0.05,-0.10,0.02;-0.14,0.62,9.87;2.24,-2.10
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;0.05,-0.10,0.02;-0.14,0.62,9.87;2.26,-2.10
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.28,-2.20
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.30,-2.20
118.81082937,31.89292987,8.67;0.94,264.34,-0.14;-0.19,-1.86,0.02;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.33,-2.20
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.35,-2.20
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.35,-2.30
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.58,-2.30
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.60,-2.30
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.61,-2.30
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.63,-2.30
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.65,-2.20
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.88,-2.20
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.88,-2.20
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.90,-1.80
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.22,-0.18,-0.04;-0.08,0.93,9.89;2.92,-1.80
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.83,0.04,0.07;-0.02,1.10,9.86;2.93,-1.80
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.83,0.04,0.07;-0.02,1.10,9.86;2.95,-1.80
118.81081347,31.89292855,8.70;0.87,264.39,-0.02;-0.25,-2.47,0.05;-0.83,0.04,0.07;-0.02,1.10,9.86;2.96,-1.80
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;-0.83,0.04,0.07;-0.02,1.10,9.86;2.96,-1.80
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;-0.83,0.04,0.07;-0.02,1.10,9.86;2.96,-1.80
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;-0.83,0.04,0.07;-0.02,1.10,9.86;3.24,-1.80
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;-0.83,0.04,0.07;-0.02,1.10,9.86;3.26,-1.70
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;-0.83,0.04,0.07;-0.02,1.10,9.86;3.28,-1.70
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;-0.83,0.04,0.07;-0.02,1.10,9.86;3.30,-1.70
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;-0.83,0.04,0.07;-0.02,1.10,9.86;3.33,-1.70
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;-0.83,0.04,0.07;-0.02,1.10,9.86;3.35,-1.70
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;-0.83,0.04,0.07;-0.02,1.10,9.86;3.35,-1.80
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;-0.83,0.04,0.07;-0.02,1.10,9.86;3.65,-1.80
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;-0.83,0.04,0.07;-0.02,1.10,9.86;3.66,-1.90
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;0.11,-0.67,-0.01;-0.08,1.14,9.54;3.68,-1.90
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;0.21,0.38,0.12;0.03,1.21,10.11;3.71,-1.90
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;0.21,0.38,0.12;0.03,1.21,10.11;3.71,-2.00
118.81079140,31.89292664,8.75;0.92,264.44,0.07;-0.31,-3.13,0.04;0.21,0.38,0.12;0.03,1.21,10.11;3.76,-2.00
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;0.21,0.38,0.12;0.03,1.21,10.11;3.76,-2.00
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;0.21,0.38,0.12;0.03,1.21,10.11;4.07,-1.90
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;0.21,0.38,0.12;0.03,1.21,10.11;4.09,-2.00
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;0.21,0.38,0.12;0.03,1.21,10.11;4.11,-2.00
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;0.21,0.38,0.12;0.03,1.21,10.11;4.13,-1.90
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;0.21,0.38,0.12;0.03,1.21,10.11;4.15,-1.90
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;0.21,0.38,0.12;0.03,1.21,10.11;4.17,-1.90
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;0.21,0.38,0.12;0.03,1.21,10.11;4.18,-1.80
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;0.21,0.38,0.12;0.03,1.21,10.11;4.18,-2.80
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;0.21,0.38,0.12;0.03,1.21,10.11;4.38,-2.80
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;-0.08,-0.40,-0.21;-0.29,0.67,9.61;4.39,-2.90
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;-0.63,0.13,-0.10;0.02,1.05,9.95;4.42,-3.00
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;-0.63,0.13,-0.10;0.02,1.05,9.95;4.43,-3.10
118.81076531,31.89292474,8.80;0.90,264.47,0.06;-0.36,-3.90,0.09;-0.63,0.13,-0.10;0.02,1.05,9.95;4.44,-3.20
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.63,0.13,-0.10;0.02,1.05,9.95;4.62,-3.30
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.63,0.13,-0.10;0.02,1.05,9.95;4.62,-5.50
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.63,0.13,-0.10;0.02,1.05,9.95;4.65,-5.40
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.63,0.13,-0.10;0.02,1.05,9.95;4.66,-5.30
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.63,0.13,-0.10;0.02,1.05,9.95;4.68,-5.30
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.63,0.13,-0.10;0.02,1.05,9.95;4.68,-5.10
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.63,0.13,-0.10;0.02,1.05,9.95;4.70,-4.90
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.63,0.13,-0.10;0.02,1.05,9.95;4.72,-4.80
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.63,0.13,-0.10;0.02,1.05,9.95;4.72,-4.80
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.63,0.13,-0.10;0.02,1.05,9.95;4.83,-11.20
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.63,0.13,-0.10;0.02,1.05,9.95;4.83,-11.40
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.38,-0.18,-1.35;0.30,0.31,10.19;4.84,-11.50
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.38,-0.18,-1.35;0.30,0.31,10.19;4.85,-11.50
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.38,-0.18,-1.35;0.30,0.31,10.19;4.85,-11.50
118.81073193,31.89292216,8.86;0.85,264.58,-0.03;-0.40,-4.47,0.07;-0.38,-0.18,-1.35;0.30,0.31,10.19;4.85,-11.60
118.81069770,31.89291965,8.93;0.77,265.24,0.00;-0.38,-4.69,0.08;-0.38,-0.18,-1.35;0.30,0.31,10.19;4.86,-11.70
118.81069770,31.89291965,8.93;0.77,265.24,0.00;-0.38,-4.69,0.08;-0.38,-0.18,-1.35;0.30,0.31,10.19;4.86,-20.70
