  longitude ,  latitude ,high;roll,yaw,pitch;n_vel,e_vel,u_vel;angleSpeedx_y_z;lineAccx_y_z;speed,steeringAngle
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.33,0.42,-0.06;-0.09,-0.22,9.85;2.27,10.20
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.33,0.42,-0.06;-0.09,-0.22,9.85;2.27,10.30
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;0.42,-0.06,0.58;-0.02,-0.20,10.23;2.27,10.40
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.27,9.80
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.35,9.80
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.38,9.90
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.39,10.10
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.40,10.20
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.40,10.30
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.43,10.40
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.43,13.60
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.66,13.90
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.66,14.20
118.81093400,31.89293999,8.67;0.98,269.25,-0.56;-0.01,-2.22,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.69,14.30
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.71,14.50
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;-0.56,-0.40,0.60;-0.36,0.20,10.55;2.73,14.70
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;2.75,14.90
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;2.77,15.00
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;2.96,15.10
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;2.98,15.20
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;2.99,15.20
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;3.02,15.20
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;3.05,15.20
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;3.06,15.20
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;3.07,15.20
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;3.07,14.90
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;3.32,15.00
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;3.33,14.90
118.81091440,31.89293964,8.68;1.00,268.74,-0.51;-0.05,-2.79,0.02;0.38,-0.15,1.29;-0.07,0.99,9.49;3.35,14.90
